AuthorVerbeke,Mathias 0.200000
AuthorKokkinakis,George K. 0.200000
AuthorChoi,Freddy Y. Y. 0.200000
AuthorOgden,William C. 0.200000
AuthorGreen,Meredith 0.200000
AuthorKilger,Anne 0.200000
AuthorGao,Yan 0.200000
AuthorVan Beek,Peter 0.200000
AuthorShacham,Ron 0.200000
AuthorHu,Junfeng 0.200000
AuthorOsman,Liesl 0.200000
AuthorAlink,Wouter 0.200000
AuthorPierce,David R. 0.200941
AuthorDiab,Mona T. 0.200000
AuthorShaikh,Mostafa Al Masum 0.200000
AuthorTaddei,Loredana 0.200000
AuthorGoh,Chooi-Ling 0.200000
AuthorAndr&eacute;s-Ferrer,Jes&uacute;s 0.200000
AuthorGoldberger,Jacob 0.200000
AuthorMori,Yoshiki 0.200000
AuthorNaughton,Martina 0.200000
AuthorChrz,Tomas 0.200000
AuthorIzuha,Tatsuya 0.200000
AuthorBlei,David M. 0.200000
AuthorLangone,Helen 0.200000
AuthorKotalwar,Anup 0.200000
AuthorBickmore,Timothy W. 0.200000
AuthorWong,Fai 0.200000
AuthorJagannathan,V. 0.200000
AuthorAndrezen,V. 0.200000
AuthorCristiÃ,Maximiliano 0.200000
AuthorArens,Yigal 0.200000
AuthorFormiga,Lluis 0.200000
AuthorYu,Yong 0.200000
AuthorKrupka,George R. 0.200000
AuthorYan,Hao 0.200000
AuthorWuebker,Joern 0.200000
AuthorDividino,Renata 0.200000
AuthorTsatsaronis,George 0.200000
AuthorZhou,Liang 0.200000
AuthorZaidan,Omar F. 0.200000
AuthorYang,Yaqin 0.200000
AuthorPark,Hyouk R. 0.200000
AuthorBatista,Fernando 0.200000
AuthorBrants,Thorsten 0.200000
AuthorPerkowitz,Mike 0.200000
AuthorGe,Ruifang 0.200000
AuthorOonishi,Takashi 0.200000
AuthorJones,Simon 0.200000
AuthorSvensson,Hans 0.200000
AuthorPapineni,Kishore 0.248000
AuthorNieke,Christian 0.200000
AuthorXu,Jun-Ming 0.200000
AuthorBourdon,Marie 0.200000
AuthorFabri,Ray 0.200000
AuthorBellalem,Lotfi 0.200000
AuthorTenney,Merle D. 0.200000
AuthorTurney,Peter D. 0.200000
AuthorNomiyama,Hiroshi 0.200000
AuthorRudzicz,Frank 0.200000
AuthorTurchin,Alexander 0.200000
AuthorUsanavasin,Sasiporn 0.200000
AuthorLabutov,Igor 0.200000
AuthorSavarese,Silvio 0.200000
AuthorKielty,John 0.200000
AuthorBurns,Gully 0.200000
AuthorChoudhary,Narayan 0.200000
AuthorSun,Nan 0.200000
AuthorCao,Yunbo 0.200000
AuthorBilmes,Jeff A. 0.200000
AuthorBryant,Barrett R. 0.200000
AuthorStewart,Brandon M. 0.200000
AuthorJeon,Hyungbae 0.200000
AuthorHeuss,Timm 0.200000
AuthorTietze,Martin I. 0.200000
AuthorQ. Zadeh,Behrang 0.200000
AuthorErcegov&ccaron;evi&cacute;,Milo&scaron; 0.200000
AuthorPeron,Simone 0.200000
AuthorMcNeilly,Chris 0.200000
AuthorZhou,Guangyou 0.200000
AuthorGuoDong,Zhou 0.200000
AuthorZafiu,Adrian 0.200000
AuthorPark,Dae Hoon 0.200000
AuthorLin,Chu-Cheng 0.200000
Authordos Santos,Cicero 0.200000
AuthorBasili,Roberto 0.200000
AuthorNakaiwa,Hiromi 0.200000
AuthorNg'ang'a,Wanjiku 0.200000
AuthorMatsuoka,Tatsuo 0.200000
AuthorLee,Yoon Hee 0.200000
AuthorWijaya,Derry Tanti 0.200000
AuthorVerhagen,Arie 0.200000
AuthorPham,Thanh-Binh 0.200000
AuthorTan,Chew Lim 0.200941
AuthorPao,Christine 0.200000
AuthorChitrao,Mahesh V. 0.200000
AuthorLebedeva,Ekaterina 0.200000
AuthorBurroughs,Michelle 0.200000
AuthorIlarraza,A. Diaz de 0.200000
AuthorBaayen,R. Harald 0.200000
AuthorZhao,Shi 0.200000
AuthorTashiro,Toshihisa 0.200000
AuthorMiyoshi,Hideo 0.200000
AuthorHirao,Tsutomu 0.200000
AuthorLiew,Jasy Suet Yan 0.200000
AuthorBarbot,Nelly 0.200000
AuthorLanglais,Philippe 0.200000
AuthorMarti,M. Antonia 0.200000
AuthorEngelken,Henriette 0.200000
AuthorKuo,June-Jei 0.200000
AuthorDetmold,Gaye 0.200000
AuthorArisoy,Ebru 0.200000
AuthorShudo,Kosho 0.200000
AuthorJohnson,W. Lewis 0.200000
AuthorHuhmarniemi,Saara 0.200000
AuthorSINGH,VIKRAM 0.200000
AuthorXiong,Chenyan 0.200000
AuthorOhnishi,Noboru 0.200000
AuthorVos,Rein 0.200000
AuthorItoh,Hideo 0.200000
AuthorM&oacute;ra,Gy&ouml;rgy 0.200000
AuthorLeenders,Miriam 0.200000
AuthorRoy,Matthew 0.200000
AuthorWiese,Richard 0.200000
AuthorBloodgood,Michael 0.200000
AuthorKrellenstein,Marc 0.200000
AuthorCant,James 0.200000
AuthorOhta,Tomoko 0.200000
AuthorBarbieri,Francesco 0.200000
AuthorReed,Chris 0.200000
AuthorRamsay,Allan 0.200000
AuthorMiyauchi,Tadanobu 0.200000
AuthorFaconti,Giorgio P. 0.200000
AuthorBraun,Gunter 0.200000
AuthorWang,Zuoying 0.200000
AuthorMoro,Andrea 0.200000
AuthorMelton,Genevieve B. 0.200000
AuthorVerlinde,Serge 0.200000
AuthorWu,Fan 0.200000
AuthorAlvarez-De-Mon,Inmaculada 0.200000
AuthorHung,San-Chuan 0.200000
AuthorHoriguchi,Susumu 0.200000
AuthorLeijten,Mari&Atilde;&laquo;lle 0.200000
AuthorColaresi,Michael 0.200000
AuthorPodvesky,Petr 0.200000
AuthorDienes,Peter 0.200000
AuthorSatoh,Kenji 0.200000
AuthorVazov,Nikolai 0.200000
AuthorLampos,Vasileios 0.200000
AuthorShaumyan,Olga 0.200000
AuthorBurchardt,Aljoscha 0.200000
AuthorKim,Yoonkwan 0.200000
AuthorMontero,Francisco Alvarez 0.200000
AuthorMonteleoni,Claire 0.200000
AuthorKoshino,Hideya 0.200000
AuthorSharoff,Serge 0.200000
AuthorRakotonanahary,Nirina 0.200000
AuthorWang,Hui 0.200000
AuthorMcGillivray,Barbara 0.200000
AuthorWilliam,Scott 0.200000
AuthorMatsuo,Yutaka 0.200000
AuthorD&eacute;silets,Alain 0.200000
AuthorBuntrock,James 0.200000
AuthorPalomar,M. 0.200000
AuthorZitnik,Slavko 0.200000
AuthorStrube,Michael 0.200941
AuthorBesan&ccedil;on,Romaric 0.200000
AuthorAmano,Shin-Ya 0.200000
AuthorIshizaki,Masato 0.200000
AuthorUmuhoza,Arlette 0.200000
AuthorYe,Yang 0.200000
AuthorHuber,Edmund 0.200000
AuthorBachman,Lyle F. 0.200000
AuthorSwayamdipta,Swabha 0.200000
AuthorKelly,Erin 0.200000
AuthorGallardo,Ascension 0.200000
AuthorSoudi,Abdelhadi 0.200000
AuthorYe,Nan 0.200000
AuthorShawar,Bayan Abu 0.200000
AuthorPacak,Milos G. 0.200000
AuthorHsieh,Shu-Kai 0.200000
AuthorMandl,Thomas 0.200000
AuthorAfify,Mohamed 0.200000
AuthorBronisz,Didier 0.200000
AuthorAyuso,Damaris M. 0.200000
AuthorNutter,J. Terry 0.200000
AuthorMoradi,Farnaz 0.200000
AuthorSharma,Shefali 0.200000
AuthorCalixto,Iacer 0.200000
AuthorZapirain,Benat 0.200000
AuthorGeman,Stuart 0.200000
AuthorVela,Mihaela 0.200000
AuthorMarneffe,Marie-Catherine 0.200000
AuthorTam,Sharon 0.200000
AuthorWaterman,Scott 0.200000
AuthorGupta,Surabhi 0.200000
AuthorAndry,Francois 0.200000
AuthorDuboue,Pablo Ariel 0.200000
AuthorVicente-Diez,Maria Teresa 0.200000
AuthorStreeter,Victor J. 0.200000
AuthorPrasad,Rashmi 0.200000
AuthorXiang,Guang 0.200000
AuthorGerven,Marcel van 0.200000
AuthorLacalle,Oier LÃ³pez de 0.200000
AuthorZhang,Jianwen 0.200000
AuthorKhalilov,Maxim 0.200000
AuthorCheng,Justin 0.200000
AuthorSteves,Michelle 0.200000
AuthorBush,Caroline 0.200000
AuthorYu,Jiye 0.200000
AuthorDe Raedt,Luc 0.200000
AuthorLeal,Antonio 0.200000
AuthorOliveira,Francisco 0.200000
AuthorAha,David W. 0.200000
AuthorScheffler,Tatjana 0.200000
AuthorSmrz,Otakar 0.200000
AuthorBoucher,Mathieu 0.200000
AuthorErkan,Gunes 0.200000
AuthorAbeille,Anne 0.200000
AuthorCottrell,Garrison W. 0.200000
AuthorRamanathan,Ananthakrishnan 0.200000
AuthorYang,Yinfei 0.200000
AuthorNguyen,Thien Huu 0.200000
AuthorFictumova,Jarmila 0.200000
AuthorTerrell,Karenann K. 0.200000
AuthorNastase,Vivi 0.200000
AuthorGamez,Jose A. 0.200000
AuthorSu,Yanxia 0.200000
AuthorCampbell,Lyle 0.200000
AuthorWu,Jien-Chen 0.200000
AuthorCeausu,Alexandru 0.200000
AuthorPetrelli,Daniela 0.200000
AuthorKitamura,Mihoko 0.200000
AuthorShiga,Yoshinori 0.200000
AuthorDeclerck,Thierry 0.200000
AuthorChurch,Kenneth Ward 0.203265
AuthorMcTear,Michael F. 0.200000
AuthorCai,Qingqing 0.200000
AuthorPeterson,Jill 0.200000
AuthorXiaoLong,Wang 0.200000
AuthorRemus,Steffen 0.200000
AuthorNocera,Pascal 0.200000
AuthorMoura,Leonardo 0.200000
AuthorZamora-Martinez,Francisco 0.200000
AuthorWhittaker,Edward W. D. 0.200000
AuthorMueller,Stefan 0.200000
AuthorBurek,Gaston G. 0.200000
AuthorMoreda Pozo,Paloma 0.200000
AuthorButtelmann,H. Willam 0.200000
AuthorFairley,Irene R. 0.200000
AuthorVasilakopoulos,Argyrios 0.200000
AuthorMolina,Antonio 0.200000
AuthorSchmidt,Thomas 0.200000
AuthorShiba,Mitsuteru 0.200000
AuthorLee,Do-Gil 0.200000
AuthorKukkadapu,Puneeth 0.200000
AuthorWalz,Janet 0.200000
AuthorStein,Achim 0.200000
AuthorSato,Manabu 0.200000
AuthorKumagai,T. 0.200000
AuthorDel Canto,M. 0.200000
AuthorGonzales,Isabel 0.200000
AuthorHua,Song 0.200000
AuthorBeaven,John L. 0.200000
AuthorWeitz,Benjamin 0.200000
AuthorXanthos,Aris 0.200000
AuthorRayson,Paul 0.200000
AuthorToscani,Domenico 0.200000
AuthorJin,Yun 0.200000
AuthorSidorenko,Wladimir 0.200000
AuthorHan,Xianpei 0.200000
AuthorNakayama,Takehiro 0.200000
AuthorPlank,Barbara 0.200000
AuthorKamei,Shin-ichiro 0.200000
AuthorOronoz,Maite 0.200000
AuthorTchambo,Fred 0.200000
AuthorGupta,Rakesh 0.200000
AuthorJ&ouml;rwall,Jakob 0.200000
AuthorGranell Zafra,Joaquin 0.200000
AuthorMurray-Rust,Peter 0.200000
AuthorLawless,Seamus 0.200000
AuthorOkuno,Yoh 0.200000
AuthorSlonim,Noam 0.200000
AuthorDemirsahin,Isin 0.200000
AuthorChang,Angel 0.200000
AuthorNordg&aring;rd,Torbj&oslash;rn 0.200000
AuthorWunderlich,Dieter 0.200000
AuthorWeller,Marion 0.200000
AuthorChung,Hoon 0.200000
AuthorCoursey,Kino 0.200000
AuthorKibrik,A. E. 0.200000
AuthorElgersma,Erik 0.200000
AuthorHorner,Joshua 0.200000
AuthorTodman,John 0.200000
AuthorSchuldes,Stephanie 0.200000
AuthorHayamizu,Satoru 0.200000
AuthorSadrzadeh,Mehrnoosh 0.200000
AuthorSzab&oacute;,J&aacute;nos 0.200000
AuthorSato,Issei 0.200000
AuthorHeinrich,Christian 0.200000
AuthorMaeda,Kazuaki 0.200000
AuthorOri,Manabu 0.200000
AuthorNirenburg,Inna 0.200000
AuthorGao,Quin 0.200000
AuthorPianesi,Fabio 0.200000
AuthorHall,Sam 0.200000
AuthorBecker,Dara 0.200000
AuthorFairon,C&eacute;drick 0.200000
AuthorMcRoy,Susan W. 0.200000
AuthorTufis,Dan 0.200000
AuthorWarren,Karine 0.200000
AuthorGoldman,Robert 0.200000
AuthorNightingale,Stephen 0.200000
AuthorSchatz,Thomas 0.200000
AuthorFan,Miao 0.200000
AuthorChien,Arnold J. 0.200000
AuthorDimitrov,Aleksandar 0.200000
AuthorKanda,Naoyuki 0.200000
AuthorVerastegui-Carvajal,J. N. 0.200000
AuthorKowarski,Irene 0.200000
AuthorIsoda,Michio 0.200000
AuthorNunberg,Geoffrey 0.200000
AuthorCussens,James 0.200000
AuthorSawaf,Hassan 0.200000
AuthorBly,B. 0.200000
AuthorTsurumaru,Hiroaki 0.200000
AuthorElko,G. W. 0.200000
AuthorNagashima,Yuji 0.200000
AuthorDiekema,Anne R. 0.200000
AuthorLarkin,Samuel 0.200000
AuthorHadiwinoto,Christian 0.200000
AuthorKeenan,Gail 0.200000
AuthorNicholl,Sheldon 0.200000
AuthorJoseph,Brian 0.200000
AuthorValencia-Garc&Atilde;&shy;a,Rafael 0.200000
AuthorKitani,Tsuyoshi 0.200000
AuthorLehmann,John 0.200000
AuthorDanqing,Zhu 0.200000
AuthorIpeirotis,Panagiotis 0.200000
AuthorWitkam,Toon 0.200000
AuthorPr&eacute;a,Pascal 0.200000
AuthorBiggins,Sam 0.200000
AuthorHardt,Daniel 0.200000
AuthorTadepalli,Prasad 0.200000
AuthorPreu&szlig;,Susanne 0.200000
AuthorUtiyama,Masao 0.200000
AuthorLi,Mingqin 0.200000
AuthorCrawford,Jean 0.200000
AuthorCampbell,David 0.200000
AuthorYu,Hao 0.200000
AuthorSalvati,Sylvain 0.200000
AuthorKamps,Jaap 0.200000
AuthorWilbur,Ronnie B. 0.200000
AuthorCorluy,A. 0.200000
AuthorChia,Tee Kiah 0.200000
AuthorZimmermann,Malte 0.200000
AuthorYang,Yi 0.200000
AuthorPreoÅ¢iuc-Pietro,Daniel 0.200000
AuthorStanat,Donald F. 0.200000
AuthorMcClanahan,Peter 0.200000
AuthorHeilman,Michael 0.200000
AuthorBarlacchi,Gianni 0.200000
AuthorFraser,Kathleen C. 0.200000
AuthorJurkiewicz,Zbigniew 0.200000
AuthorDoÄŸruÃ¶z,A. Seza 0.200000
AuthorChuang,Thomas C. 0.200000
AuthorKaliyaperumal,Rajaram 0.200000
AuthorGreenhill,Simon J. 0.200000
AuthorWanner,Leo 0.200000
AuthorJensen,Lars J. 0.200000
AuthorCruz,Isabel 0.200000
AuthorAvgustinova,Tania 0.200000
AuthorDavis,Sashka T. 0.200000
AuthorSkirgard,Hedvig 0.200000
AuthorMorgan,Alexander A. 0.200000
AuthorHunter,D. 0.200000
AuthorKawahara,Daisuke 0.200000
AuthorMahasarakham,Puwarat Pavaputanont Na 0.200000
AuthorZeng,Qingqing 0.200000
AuthorPolakova,Nadezda 0.200000
AuthorBernth,Arendse 0.200000
AuthorRajput,Nitendra 0.200000
AuthorLennon,Elizabeth 0.200000
AuthorFederici,Stefano 0.200000
AuthorMenzel,Wolfgang 0.200000
AuthorAndrew,Galen 0.200000
AuthorBellalem,Nadia 0.200000
AuthorSay,A. C. Cem 0.200000
AuthorGonzÃ¡lez,Fabio 0.200000
AuthorWittenburg,Peter 0.200000
AuthorMerkler,Danijela 0.200000
AuthorTutin,Agnes 0.200000
AuthorToole,Janine 0.200000
AuthorBourbeau,Laurent 0.200000
AuthorSloot,Peter M. A. 0.200000
AuthorFern&aacute;ndez Slezak,Diego 0.200000
AuthorCroset,Samuel 0.200000
AuthorMahadevan,Iravatham 0.200000
AuthorMokbel,Chafic 0.200000
AuthorVan Genabith,Josef 0.200000
AuthorLappin,Shalom 0.200000
AuthorMachek,Pavel 0.200000
AuthorSpoustova,Drahomira 0.200000
AuthorKrallinger,Martin 0.200000
AuthorO Donnaile,Caoimhin 0.200000
AuthorStiehler,Felix 0.200000
AuthorSchlesinger,Pavel 0.200000
AuthorCallaway,Charles B. 0.200000
AuthorLopez,C&Atilde;&copy;dric 0.200000
AuthorM&ouml;rth,Karlheinz 0.200000
AuthorStenchikova,Svetlana 0.200000
AuthorGoyal,Aseem 0.200000
AuthorMeya,Montserrat 0.200000
AuthorZinn,Claus 0.200000
AuthorVeenendaal,Remco van 0.200000
AuthorKirk,Nicholas H. 0.200000
AuthorDiatka,VojtÄ›ch 0.200000
AuthorAra&Atilde;&ordm;jo,V&Atilde;&shy;tor 0.200000
AuthorTonelli,Sara 0.200000
AuthorRatt,Sylvie 0.200000
AuthorStach,Jerrold F. 0.200000
AuthorNie,Zaiqing 0.200000
AuthorMandal,Soumik 0.200000
AuthorHan,Kyoung-Soo 0.200000
AuthorLi,Wanyin 0.200000
AuthorSrikanth,Munirathnam 0.200000
AuthorBerleant,Shoshana 0.200000
AuthorCheikes,Brant A. 0.200000
AuthorH&uuml;lscher,Olaf 0.200000
AuthorUrena-Lopez,L. Alfonso 0.200000
AuthorFreire,Nuno 0.200000
AuthorTanaka,Kokichi 0.200000
AuthorTerra,Egidio L. 0.200000
AuthorMao,Xinnian 0.200000
AuthorGrego,Tiago 0.200000
AuthorRawal,Chetan 0.200000
AuthorVeress,Fruzsina 0.200000
AuthorFretheim,Thorstein 0.200000
AuthorYoon,Juntae 0.200000
AuthorPerennou,G. 0.200000
AuthorCallaghan,Paul 0.200000
AuthorGriffitt,Kira 0.200000
AuthorEttelaie,Emil 0.200000
AuthorKinoshita,Shuhei 0.200000
AuthorChaib-draa,Brahim 0.200000
AuthorAkhmatova,Elena 0.200000
AuthorJohansson Kokkinakis,Sofie 0.200000
AuthorChang,Kai-Chun 0.200000
AuthorTanaka,Hideki 0.200000
AuthorKim,Woosung 0.200000
AuthorVieweg,Sarah E. 0.200000
AuthorDuch,Wlodzislaw 0.200000
AuthorAllen,James F. 0.200000
AuthorBerry,Simon 0.200000
AuthorMoreau,Nicolas 0.200000
AuthorGinter,Filip 0.200000
AuthorLang,Bernard 0.200000
AuthorStoyanova,Ivelina 0.200000
AuthorOertel,Catharine 0.200000
AuthorVasiliu,E. 0.200000
AuthorSekine,Satoshi 0.212370
AuthorPriya,Ritwik 0.200000
AuthorFresno,VÃ­ctor 0.200000
AuthorGe,Wenying 0.200000
AuthorZhang,Muyu 0.200000
AuthorZhang,Zhushuo 0.200000
AuthorWonsever,Dina 0.200000
AuthorAone,Chinatsu 0.200000
AuthorNielsen,Rodney D. 0.200000
AuthorGotz,Thilo 0.200000
AuthorKuo,Tzu-Yi 0.200000
AuthorLiu,Ding 0.200000
AuthorYokoi,Keisuke 0.200000
AuthorBrill,David 0.200000
AuthorWu,Mingli 0.200000
AuthorBesacier,Laurent 0.200000
AuthorJulia,Luc 0.200000
AuthorNguyen,Nghi 0.200000
AuthorZhu,Dingju 0.200000
AuthorMassidda,Alberto 0.200000
AuthorSankofl,David 0.200000
AuthorMediani,Mohammed 0.200000
AuthorOrosz,GyÃ¶rgy 0.200000
AuthorBuch-Kromann,Matthias 0.200000
AuthorYe,Patrick 0.200000
AuthorHirst,Daniel 0.200000
AuthorGupta,Narendra 0.200000
AuthorDerzhanski,Ivan 0.200000
AuthorMalioutov,Igor 0.200000
AuthorPau,Michael 0.200000
AuthorGuevara,Emiliano Raul 0.200000
AuthorDeulofeu,Jos&eacute; 0.200000
AuthorFrank,Ian 0.200000
AuthorValdisoo,Maret 0.200000
AuthorSanderson,Mark 0.200000
AuthorLast,Mark 0.200000
AuthorTanaka,Masayuki 0.200000
AuthorKubo,Junko 0.200000
AuthorZhang,Yan 0.200000
AuthorSzekely,Eva 0.200000
AuthorSimi,Maria 0.200000
AuthorRanta,Aarne 0.200000
AuthorJordan,Pamela W. 0.200000
AuthorKenter,Tom 0.200000
AuthorTrinh,Ha 0.200000
AuthorGonzalez,Jorge 0.200000
AuthorTeich,Elke 0.200000
AuthorBelanger,David 0.200000
AuthorMing,Ji 0.200000
AuthorAminian,Maryam 0.200000
AuthorMasuda,Takeshi 0.200000
AuthorLi,Huiying 0.200000
AuthorHiguchi,Shinsuke 0.200000
AuthorWong,Derek F. 0.200000
AuthorLow,Jin Kiat 0.200000
AuthorBorgelt,Christian 0.200000
AuthorBringert,Bjorn 0.200000
AuthorHealey,Patrick G.T. 0.200000
AuthorJain,Naman 0.200000
AuthorKatz-Brown,Jason 0.200000
AuthorNagao,Makoto 0.211429
AuthorDenis,Pascal 0.200000
AuthorPentheroudakis,Joseph 0.200000
AuthorYan,Zhenxiang 0.200000
AuthorGonzalez,Maritxell 0.200000
AuthorFriburger,Nathalie 0.200000
AuthorGÃ³mez-RodrÃ­guez,Carlos 0.200000
AuthorCsendes,Dora 0.200000
AuthorKang,Jeonhyung 0.200000
AuthorThomson,Blaise 0.200000
AuthorPackard,Woodley 0.200000
AuthorDardaine,Joanne 0.200000
AuthorFranco,Jose 0.200000
AuthorLiao,Xiantao 0.200000
AuthorSegura-Bedmar,Isabel 0.200000
AuthorRodriguez,Luis 0.200000
AuthorDini,Luca 0.200000
AuthorNakano,Masahiro 0.200000
AuthorLapalme,Guy 0.200000
AuthorHuang,Chih-Ying 0.200000
AuthorBall,Richard 0.200000
AuthorWitte,Ren&eacute; 0.200000
AuthorChiarcos,Christian 0.200000
AuthorMart&iacute;nez,Paloma 0.200000
AuthorVillaneau,Jeanne 0.200000
AuthorLi,Jianfeng 0.200000
AuthorStuhrenberg,Maik 0.200000
AuthorRegneri,Michaela 0.200000
AuthorGaillard,Julien 0.200000
AuthorDar&aacute;nyi,S&aacute;ndor 0.200000
AuthorGonz&aacute;lez,Jorge 0.200000
AuthorAker,Ahmet 0.200000
AuthorWudabala,Han 0.200000
AuthorLong,Fan 0.200000
AuthorNovak,Josef R. 0.200000
AuthorDrozd,Janus 0.200000
AuthorEger,Steffen 0.200000
AuthorDai,Jianmin 0.200000
AuthorBrunson,Barbara A. 0.200000
AuthorVassilivitskii,Sergei 0.200000
AuthorSutton,Stephen 0.200000
AuthorLeseva,Svetlozara 0.200000
AuthorSarioglu,Efsun 0.200000
AuthorNabende,Peter 0.200000
AuthorMushin,Ilana 0.200000
AuthorJurie,Pierre Fran&ccedil;ois 0.200000
AuthorWinkel,Adam 0.200000
AuthorSrinivasan,Padmini 0.200000
AuthorSagawa,Yuji 0.200000
AuthorShen,Rongzhou 0.200000
AuthorLoBue,Peter 0.200000
AuthorLopresti,Daniel 0.200000
AuthorHana,Jirka 0.200000
AuthorMarcus,Solomon 0.200000
AuthorHayes,Philip J. 0.200000
AuthorBouayad-Agha,Nadjet 0.200000
AuthorDe Bie,Tijl 0.200000
AuthorBarry,Guy 0.200000
AuthorOrhan,Zeynep 0.200000
AuthorYÄ±lmaz,Ertugrul 0.200000
AuthorSomers,Harold L. 0.200000
AuthorFernando,Samuel 0.200000
AuthorMatsuda,Takeo 0.200000
AuthorPozzi,Maria 0.200000
AuthorWilson,Ira B. 0.200000
AuthorAgarwal,Manish 0.200000
AuthorJu,Qi 0.200000
AuthorBontcheva,Kalina 0.200000
AuthorCook,Kevin 0.200000
AuthorShein,Fraser 0.200000
AuthorPustylnikov,Olga 0.200000
AuthorSaito,Yoshimi 0.200000
AuthorSpohr,Dennis 0.200000
AuthorOlsson,J. Scott 0.200000
AuthorTablan,Valentin 0.200000
AuthorThangthai,Ausdang 0.200000
AuthorSmith,Tony C. 0.200000
AuthorSchluter,Natalie 0.200000
AuthorGreen,Ryan 0.200941
AuthorBuchmann,Beat 0.200000
AuthorGehrt,Richard F. 0.200000
AuthorTsarfaty,Reut 0.200000
AuthorPaltoglou,Georgios 0.200000
AuthorYang,Yezhou 0.200000
AuthorMassie,Stewart 0.200000
AuthorSchneider,Jodi 0.200000
AuthorYoung,Robert 0.200000
AuthorAndo,Shinichi 0.200000
AuthorChatterjee,Arindam 0.200000
AuthorZitouni,Imed 0.200000
AuthorMoir&oacute;n,Bego&ntilde;a Villada 0.200000
AuthorCocco,Christelle 0.200000
AuthorMinematsu,Nobuaki 0.200000
AuthorYang,D. 0.200000
AuthorDe Vries,Arjen 0.200000
AuthorLin,Chin-Yew 0.200941
AuthorJones,Rosie 0.200000
AuthorTepper,Michael 0.200000
AuthorArtiles,Javier 0.200000
AuthorVale,Oto 0.200000
AuthorMatzuura,H. 0.200000
AuthorSpaan,Edith 0.200000
AuthorPardo,Jose Manuel 0.200000
AuthorManion,Steve 0.200000
AuthorCabral,Joao P. 0.200000
AuthorShiu,S. 0.200000
AuthorJaggi,Martin 0.200000
AuthorChen,Hongbo 0.200000
AuthorSamaridi,Niki 0.200000
AuthorLu,Jie 0.200000
